Geo_Code,Prov_Name,Topic,Untrimmed Characteristic,Characteristic,Note,Total,Male,Female
10,Newfoundland and Labrador,Detailed other language spoken regularly at home,Russian,Russian,,80,45,30
10,Newfoundland and Labrador,Detailed other language spoken regularly at home,Rwanda (Kinyarwanda),Rwanda (Kinyarwanda),,0,0,5
10,Newfoundland and Labrador,Detailed other language spoken regularly at home,"Semitic languages, n.i.e.","Semitic languages, n.i.e.",,0,0,0
10,Newfoundland and Labrador,Detailed other language spoken regularly at home,Serbian,Serbian,,10,5,5
10,Newfoundland and Labrador,Detailed other language spoken regularly at home,Serbo-Croatian,Serbo-Croatian,,5,0,0
10,Newfoundland and Labrador,Detailed other language spoken regularly at home,Shanghainese,Shanghainese,,0,0,0
10,Newfoundland and Labrador,Detailed other language spoken regularly at home,"Sign languages, n.i.e.","Sign languages, n.i.e.",,85,35,45
10,Newfoundland and Labrador,Detailed other language spoken regularly at home,Sindhi,Sindhi,,10,5,5
10,Newfoundland and Labrador,Detailed other language spoken regularly at home,Sinhala (Sinhalese),Sinhala (Sinhalese),,20,10,10
10,Newfoundland and Labrador,Detailed other language spoken regularly at home,"Sino-Tibetan languages, n.i.e.","Sino-Tibetan languages, n.i.e.",,0,0,0
10,Newfoundland and Labrador,Detailed other language spoken regularly at home,"Slavic languages, n.i.e.","Slavic languages, n.i.e.",,0,0,0
10,Newfoundland and Labrador,Detailed other language spoken regularly at home,Slovak,Slovak,,5,0,5
10,Newfoundland and Labrador,Detailed other language spoken regularly at home,Slovenian,Slovenian,,5,0,5
10,Newfoundland and Labrador,Detailed other language spoken regularly at home,Somali,Somali,,0,0,0
10,Newfoundland and Labrador,Detailed other language spoken regularly at home,Spanish,Spanish,,290,140,155
10,Newfoundland and Labrador,Detailed other language spoken regularly at home,Swahili,Swahili,,10,5,5
10,Newfoundland and Labrador,Detailed other language spoken regularly at home,Swedish,Swedish,,15,5,5
10,Newfoundland and Labrador,Detailed other language spoken regularly at home,"Tagalog (Pilipino, Filipino)","Tagalog (Pilipino, Filipino)",,105,30,75
10,Newfoundland and Labrador,Detailed other language spoken regularly at home,Taiwanese,Taiwanese,,10,5,5
10,Newfoundland and Labrador,Detailed other language spoken regularly at home,Tamil,Tamil,,35,15,15
10,Newfoundland and Labrador,Detailed other language spoken regularly at home,Telugu,Telugu,,10,5,5
10,Newfoundland and Labrador,Detailed other language spoken regularly at home,Thai,Thai,,15,5,5
10,Newfoundland and Labrador,Detailed other language spoken regularly at home,Tibetan languages,Tibetan languages,,0,0,0
10,Newfoundland and Labrador,Detailed other language spoken regularly at home,Tigrigna,Tigrigna,,10,0,5
10,Newfoundland and Labrador,Detailed other language spoken regularly at home,Turkish,Turkish,,15,5,5
10,Newfoundland and Labrador,Detailed other language spoken regularly at home,Ukrainian,Ukrainian,,10,10,10
10,Newfoundland and Labrador,Detailed other language spoken regularly at home,Urdu,Urdu,,100,50,45
10,Newfoundland and Labrador,Detailed other language spoken regularly at home,Vietnamese,Vietnamese,,15,10,5
10,Newfoundland and Labrador,Detailed other language spoken regularly at home,Yiddish,Yiddish,,0,0,0
10,Newfoundland and Labrador,Detailed other language spoken regularly at home,Other languages,Other languages,22,210,95,105
10,Newfoundland and Labrador,Detailed other language spoken regularly at home,English and French,English and French,,25,10,15
10,Newfoundland and Labrador,Detailed other language spoken regularly at home,English and non-official language,English and non-official language,,40,25,20
10,Newfoundland and Labrador,Detailed other language spoken regularly at home,French and non-official language,French and non-official language,,110,50,55
10,Newfoundland and Labrador,Detailed other language spoken regularly at home,"English, French and non-official language","English, French and non-official language",,0,0,0
11,Prince Edward Island,Population and dwelling counts,Population in 2011,Population in 2011,1,140204,,
11,Prince Edward Island,Population and dwelling counts,Population in 2006,Population in 2006,1,135851,,
11,Prince Edward Island,Population and dwelling counts,2006 to 2011 population change (%),2006 to 2011 population change (%),,3.2,,
11,Prince Edward Island,Population and dwelling counts,Total private dwellings,Total private dwellings,2,66943,,
11,Prince Edward Island,Population and dwelling counts,Private dwellings occupied by usual residents,Private dwellings occupied by usual residents,3,56462,,
11,Prince Edward Island,Population and dwelling counts,Population density per square kilometre,Population density per square kilometre,,24.7,,
11,Prince Edward Island,Population and dwelling counts,Land area (square km),Land area (square km),,5685.73,,
11,Prince Edward Island,Population by age groups,   0 to 4 years,0 to 4 years,,7275,3680,3590
11,Prince Edward Island,Population by age groups,   5 to 9 years,5 to 9 years,,7390,3700,3685
11,Prince Edward Island,Population by age groups,   10 to 14 years,10 to 14 years,,8395,4320,4080
11,Prince Edward Island,Population by age groups,   15 to 19 years,15 to 19 years,,9650,4930,4720
11,Prince Edward Island,Population by age groups,   20 to 24 years,20 to 24 years,,8765,4325,4440
11,Prince Edward Island,Population by age groups,   25 to 29 years,25 to 29 years,,7300,3540,3765
11,Prince Edward Island,Population by age groups,   30 to 34 years,30 to 34 years,,7585,3560,4025
11,Prince Edward Island,Population by age groups,   35 to 39 years,35 to 39 years,,8435,4015,4420
11,Prince Edward Island,Population by age groups,   40 to 44 years,40 to 44 years,,9485,4535,4955
11,Prince Edward Island,Population by age groups,   45 to 49 years,45 to 49 years,,11230,5430,5800
11,Prince Edward Island,Population by age groups,   50 to 54 years,50 to 54 years,,11155,5320,5830
11,Prince Edward Island,Population by age groups,   55 to 59 years,55 to 59 years,,10550,5140,5405
11,Prince Edward Island,Population by age groups,   60 to 64 years,60 to 64 years,,10205,4970,5235
11,Prince Edward Island,Population by age groups,   65 to 69 years,65 to 69 years,,7170,3500,3670
11,Prince Edward Island,Population by age groups,   70 to 74 years,70 to 74 years,,5400,2610,2790
11,Prince Edward Island,Population by age groups,   75 to 79 years,75 to 79 years,,4295,1930,2370
11,Prince Edward Island,Population by age groups,   80 to 84 years,80 to 84 years,,2935,1210,1720
11,Prince Edward Island,Population by age groups,   85 years and over,85 years and over,,2995,890,2105
62,Nunavut,Marital status,      Married (and not separated),Married (and not separated),,6385,3225,3155
62,Nunavut,Marital status,      Living common law,Living common law,,5095,2540,2555
62,Nunavut,Marital status,      Single (never legally married),Single (never legally married),,8645,4755,3885
62,Nunavut,Marital status,      Separated,Separated,,350,175,180
62,Nunavut,Marital status,      Divorced,Divorced,,405,185,220
62,Nunavut,Marital status,      Widowed,Widowed,,600,175,430
62,Nunavut,Number of census families in private households,   Size of census family: 2 persons,Size of census family: 2 persons,,2385,,
62,Nunavut,Number of census families in private households,   Size of census family: 3 persons,Size of census family: 3 persons,,1835,,
62,Nunavut,Number of census families in private households,   Size of census family: 4 persons,Size of census family: 4 persons,,1515,,
62,Nunavut,Number of census families in private households,   Size of census family: 5 or more persons,Size of census family: 5 or more persons,,2040,,
62,Nunavut,Family characteristics by type,      Married couples,Married couples,,3040,,
62,Nunavut,Number of children at home in married coupled family,         Without children at home,Without children at home,,650,,
62,Nunavut,Number of children at home in married coupled family,         With children at home,With children at home,,2385,,
62,Nunavut,Number of children at home in married coupled family,            1 child,1 child,,630,,
62,Nunavut,Number of children at home in married coupled family,            2 children,2 children,,640,,
62,Nunavut,Number of children at home in married coupled family,            3 or more children,3 or more children,,1115,,
62,Nunavut,Family characteristics by type,      Common-law couples,Common-law couples,,2545,,
62,Nunavut,Number of children at home in common-law coupled family,         Without children at home,Without children at home,,580,,
62,Nunavut,Number of children at home in common-law coupled family,         With children at home,With children at home,,1965,,
62,Nunavut,Number of children at home in common-law coupled family,            1 child,1 child,,590,,
62,Nunavut,Number of children at home in common-law coupled family,            2 children,2 children,,620,,
62,Nunavut,Number of children at home in common-law coupled family,            3 or more children,3 or more children,,760,,
62,Nunavut,Family characteristics by type,      Female parent,Female parent,,1560,,
62,Nunavut,Number of children at home with female-parent family,         1 child,1 child,,780,,
62,Nunavut,Number of children at home with female-parent family,         2 children,2 children,,460,,
62,Nunavut,Number of children at home with female-parent family,         3 or more children,3 or more children,,325,,
62,Nunavut,Family characteristics by type,      Male parent,Male parent,,635,,
62,Nunavut,Number of children at home with male-parent family,         1 child,1 child,,375,,
62,Nunavut,Number of children at home with male-parent family,         2 children,2 children,,160,,
62,Nunavut,Number of children at home with male-parent family,         3 or more children,3 or more children,,100,,
62,Nunavut,Family charactersitics by child age,   Under six years of age,Under six years of age,,4515,,
62,Nunavut,Family charactersitics by child age,   6 to 14 years,6 to 14 years,,5640,,
62,Nunavut,Family charactersitics by child age,   15 to 17 years,15 to 17 years,,1645,,
62,Nunavut,Family charactersitics by child age,   18 to 24 years,18 to 24 years,,2120,,
62,Nunavut,Family charactersitics by child age,   25 years and over,25 years and over,,890,,
62,Nunavut,Household and dwelling characteristics,      Living with relatives,Living with relatives,9,1340,740,600
62,Nunavut,Household and dwelling characteristics,      Living with non-relatives only,Living with non-relatives only,,615,315,305
62,Nunavut,Household and dwelling characteristics,      Living alone,Living alone,,1575,975,600
62,Nunavut,Household and dwelling characteristics for persons aged 65 years and over,      Living with relatives,Living with relatives,9,110,30,80
62,Nunavut,Household and dwelling characteristics for persons aged 65 years and over,      Living with non-relatives only,Living with non-relatives only,,15,10,5
62,Nunavut,Household and dwelling characteristics for persons aged 65 years and over,      Living alone,Living alone,,135,75,60
62,Nunavut,Private dwellings by structural type,   Single-detached house,Single-detached house,,4435,,
62,Nunavut,Private dwellings by structural type,"   Apartment, building that has five or more storeys","Apartment, building that has five or more storeys",,155,,
62,Nunavut,Private dwellings by structural type,   Movable dwelling,Movable dwelling,16,10,,
62,Nunavut,Private dwellings by structural type,      Semi-detached house,Semi-detached house,,845,,
62,Nunavut,Private dwellings by structural type,      Row house,Row house,,2235,,
62,Nunavut,Private dwellings by structural type,"      Apartment, duplex","Apartment, duplex",,130,,
62,Nunavut,Private dwellings by structural type,"      Apartment, building that has fewer than five storeys","Apartment, building that has fewer than five storeys",,845,,
62,Nunavut,Private dwellings by structural type,      Other single-attached house,Other single-attached house,,10,,
62,Nunavut,Private households by household size,   1 person,1 person,,1575,,
62,Nunavut,Private households by household size,   2 persons,2 persons,,1590,,
62,Nunavut,Private households by household size,   3 persons,3 persons,,1380,,
62,Nunavut,Private households by household size,   4 persons,4 persons,,1360,,
62,Nunavut,Private households by household size,   5 persons,5 persons,,1100,,
62,Nunavut,Private households by household size,   6 or more persons,6 or more persons,,1655,,
62,Nunavut,Detailed mother tongue,English,English,,8925,4685,4245
62,Nunavut,Detailed mother tongue,French,French,,435,275,160
62,Nunavut,Detailed mother tongue,Atikamekw,Atikamekw,,0,0,0
62,Nunavut,Detailed mother tongue,"Cree, n.o.s.","Cree, n.o.s.",,15,5,10
62,Nunavut,Detailed mother tongue,Dene,Dene,,0,0,0
62,Nunavut,Detailed mother tongue,Innu/Montagnais,Innu/Montagnais,,20,10,10
62,Nunavut,Detailed mother tongue,Inuktitut,Inuktitut,,21225,10760,10470
62,Nunavut,Detailed mother tongue,Mi'kmaq,Mi'kmaq,,0,0,0
62,Nunavut,Detailed mother tongue,Ojibway,Ojibway,,0,0,0
62,Nunavut,Detailed mother tongue,Oji-Cree,Oji-Cree,,0,0,0
62,Nunavut,Detailed mother tongue,Stoney,Stoney,,0,0,0
62,Nunavut,Detailed mother tongue,"African languages, n.i.e.","African languages, n.i.e.",,0,0,0
62,Nunavut,Detailed mother tongue,Afrikaans,Afrikaans,,5,5,0
62,Nunavut,Detailed mother tongue,Akan (Twi),Akan (Twi),,0,0,0
62,Nunavut,Detailed mother tongue,Albanian,Albanian,,0,0,0
62,Nunavut,Detailed mother tongue,Amharic,Amharic,,0,5,5
62,Nunavut,Detailed mother tongue,Arabic,Arabic,,15,15,0
62,Nunavut,Detailed mother tongue,Armenian,Armenian,,0,0,0
62,Nunavut,Detailed mother tongue,"Bantu languages, n.i.e.","Bantu languages, n.i.e.",,5,5,0
62,Nunavut,Detailed mother tongue,Bengali,Bengali,,5,5,0
62,Nunavut,Detailed mother tongue,Berber languages (Kabyle),Berber languages (Kabyle),,0,0,0
62,Nunavut,Detailed mother tongue,Bisayan languages,Bisayan languages,,20,5,10
62,Nunavut,Detailed mother tongue,Bosnian,Bosnian,,5,0,0
62,Nunavut,Detailed mother tongue,Bulgarian,Bulgarian,,0,0,0
62,Nunavut,Detailed mother tongue,Burmese,Burmese,,0,0,0
62,Nunavut,Detailed mother tongue,Cantonese,Cantonese,,15,5,5
62,Nunavut,Detailed mother tongue,"Chinese, n.o.s.","Chinese, n.o.s.",,15,5,5
62,Nunavut,Detailed mother tongue,Creoles,Creoles,,5,5,0
62,Nunavut,Detailed mother tongue,Croatian,Croatian,,0,5,5
62,Nunavut,Detailed mother tongue,Czech,Czech,,0,0,5
62,Nunavut,Detailed mother tongue,Danish,Danish,,0,5,5
62,Nunavut,Detailed mother tongue,Dutch,Dutch,,10,0,5
62,Nunavut,Detailed mother tongue,Estonian,Estonian,,0,0,0
62,Nunavut,Detailed mother tongue,Finnish,Finnish,,5,0,0
62,Nunavut,Detailed mother tongue,Flemish,Flemish,,0,0,0
62,Nunavut,Detailed mother tongue,Fukien,Fukien,,0,0,0
62,Nunavut,Detailed mother tongue,German,German,,35,20,20
62,Nunavut,Detailed mother tongue,Greek,Greek,,5,0,0
62,Nunavut,Detailed mother tongue,Gujarati,Gujarati,,5,5,0
62,Nunavut,Detailed mother tongue,Hakka,Hakka,,0,0,0
62,Nunavut,Detailed mother tongue,Hebrew,Hebrew,,0,5,0
62,Nunavut,Detailed mother tongue,Hindi,Hindi,,20,15,10
62,Nunavut,Detailed mother tongue,Hungarian,Hungarian,,10,10,5
62,Nunavut,Detailed mother tongue,Ilocano,Ilocano,,10,0,10
62,Nunavut,Detailed mother tongue,"Indo-Iranian languages, n.i.e.","Indo-Iranian languages, n.i.e.",,0,0,0
62,Nunavut,Detailed mother tongue,Italian,Italian,,5,0,5
62,Nunavut,Detailed mother tongue,Japanese,Japanese,,5,0,5
62,Nunavut,Detailed mother tongue,Khmer (Cambodian),Khmer (Cambodian),,0,0,0
62,Nunavut,Detailed mother tongue,Korean,Korean,,5,5,0
62,Nunavut,Detailed mother tongue,Kurdish,Kurdish,,5,0,0
62,Nunavut,Detailed mother tongue,Lao,Lao,,0,0,0
62,Nunavut,Detailed mother tongue,Latvian,Latvian,,0,0,0
62,Nunavut,Detailed mother tongue,Lingala,Lingala,,0,0,0
62,Nunavut,Detailed mother tongue,Lithuanian,Lithuanian,,0,0,0
62,Nunavut,Detailed mother tongue,Macedonian,Macedonian,,0,0,0
62,Nunavut,Detailed mother tongue,Malay,Malay,,5,0,0
62,Nunavut,Detailed mother tongue,Malayalam,Malayalam,,0,0,0
62,Nunavut,Detailed mother tongue,Maltese,Maltese,,0,0,0
62,Nunavut,Detailed mother tongue,Mandarin,Mandarin,,15,10,15
62,Nunavut,Detailed mother tongue,Marathi,Marathi,,0,0,0
62,Nunavut,Detailed mother tongue,Nepali,Nepali,,0,0,0
62,Nunavut,Detailed mother tongue,"Niger-Congo languages, n.i.e.","Niger-Congo languages, n.i.e.",,10,10,5
62,Nunavut,Detailed mother tongue,Norwegian,Norwegian,,5,5,0
62,Nunavut,Detailed mother tongue,Oromo,Oromo,,0,0,0
62,Nunavut,Detailed mother tongue,Panjabi (Punjabi),Panjabi (Punjabi),,10,5,0
62,Nunavut,Detailed mother tongue,Pashto,Pashto,,0,5,0
62,Nunavut,Detailed mother tongue,Persian (Farsi),Persian (Farsi),,0,0,0
62,Nunavut,Detailed mother tongue,Polish,Polish,,15,10,5
62,Nunavut,Detailed mother tongue,Portuguese,Portuguese,,5,5,0
62,Nunavut,Detailed mother tongue,Romanian,Romanian,,10,5,5
62,Nunavut,Detailed mother tongue,Rundi (Kirundi),Rundi (Kirundi),,0,0,0
62,Nunavut,Detailed mother tongue,Russian,Russian,,10,0,5
62,Nunavut,Detailed mother tongue,Rwanda (Kinyarwanda),Rwanda (Kinyarwanda),,0,0,0
62,Nunavut,Detailed mother tongue,"Semitic languages, n.i.e.","Semitic languages, n.i.e.",,0,0,0
62,Nunavut,Detailed mother tongue,Serbian,Serbian,,5,5,0
62,Nunavut,Detailed mother tongue,Serbo-Croatian,Serbo-Croatian,,0,0,0
62,Nunavut,Detailed mother tongue,Shanghainese,Shanghainese,,0,0,0
62,Nunavut,Detailed mother tongue,"Sign languages, n.i.e.","Sign languages, n.i.e.",,5,0,10
62,Nunavut,Detailed mother tongue,Sindhi,Sindhi,,0,0,0
62,Nunavut,Detailed mother tongue,Sinhala (Sinhalese),Sinhala (Sinhalese),,5,5,5
62,Nunavut,Detailed mother tongue,"Sino-Tibetan languages, n.i.e.","Sino-Tibetan languages, n.i.e.",,0,0,0
62,Nunavut,Detailed mother tongue,"Slavic languages, n.i.e.","Slavic languages, n.i.e.",,0,0,0
62,Nunavut,Detailed mother tongue,Slovak,Slovak,,5,0,0
62,Nunavut,Detailed mother tongue,Slovenian,Slovenian,,5,0,0
62,Nunavut,Detailed mother tongue,Somali,Somali,,0,0,0
62,Nunavut,Detailed mother tongue,Spanish,Spanish,,25,10,15
62,Nunavut,Detailed mother tongue,Swahili,Swahili,,0,0,0
62,Nunavut,Detailed mother tongue,Swedish,Swedish,,0,0,0
62,Nunavut,Detailed mother tongue,"Tagalog (Pilipino, Filipino)","Tagalog (Pilipino, Filipino)",,100,40,65
62,Nunavut,Detailed mother tongue,Taiwanese,Taiwanese,,0,0,0
62,Nunavut,Detailed mother tongue,Tamil,Tamil,,5,0,0
62,Nunavut,Detailed mother tongue,Telugu,Telugu,,0,0,0
62,Nunavut,Detailed mother tongue,Thai,Thai,,0,0,0
62,Nunavut,Detailed mother tongue,Tibetan languages,Tibetan languages,,0,0,0
62,Nunavut,Detailed mother tongue,Tigrigna,Tigrigna,,0,0,0
62,Nunavut,Detailed mother tongue,Turkish,Turkish,,5,0,5
62,Nunavut,Detailed mother tongue,Ukrainian,Ukrainian,,5,5,0
62,Nunavut,Detailed mother tongue,Urdu,Urdu,,10,5,5
62,Nunavut,Detailed mother tongue,Vietnamese,Vietnamese,,0,5,0
62,Nunavut,Detailed mother tongue,Yiddish,Yiddish,,0,0,0
62,Nunavut,Detailed mother tongue,Other languages,Other languages,22,345,165,180
62,Nunavut,Detailed mother tongue,English and French,English and French,,5,5,0
62,Nunavut,Detailed mother tongue,English and non-official language,English and non-official language,,320,165,155
62,Nunavut,Detailed mother tongue,French and non-official language,French and non-official language,,0,0,0
62,Nunavut,Detailed mother tongue,"English, French and non-official language","English, French and non-official language",,0,0,0
62,Nunavut,Knowledge of official languages,English only,English only,,27670,14185,13485
62,Nunavut,Knowledge of official languages,French only,French only,,40,20,15
62,Nunavut,Knowledge of official languages,English and French,English and French,,1205,670,530
62,Nunavut,Knowledge of official languages,Neither English nor French,Neither English nor French,,2860,1425,1430
62,Nunavut,First official language spoken,English,English,,28425,14575,13845
62,Nunavut,First official language spoken,French,French,,455,285,165
62,Nunavut,First official language spoken,English and French,English and French,,55,25,30
62,Nunavut,First official language spoken,Neither English nor French,Neither English nor French,,2840,1420,1420
62,Nunavut,First official language spoken,Official language minority (number),Official language minority (number),23,475,295,185
62,Nunavut,Detailed language spoken most often at home,English,English,,14440,7430,7005
62,Nunavut,Detailed language spoken most often at home,French,French,,245,145,105
62,Nunavut,Detailed language spoken most often at home,Atikamekw,Atikamekw,,0,0,0
62,Nunavut,Detailed language spoken most often at home,"Cree, n.o.s.","Cree, n.o.s.",,5,5,5
62,Nunavut,Detailed language spoken most often at home,Dene,Dene,,5,0,0
62,Nunavut,Detailed language spoken most often at home,Innu/Montagnais,Innu/Montagnais,,20,10,10
62,Nunavut,Detailed language spoken most often at home,Inuktitut,Inuktitut,,16490,8415,8075
62,Nunavut,Detailed language spoken most often at home,Mi'kmaq,Mi'kmaq,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Ojibway,Ojibway,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Oji-Cree,Oji-Cree,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Stoney,Stoney,,0,0,0
62,Nunavut,Detailed language spoken most often at home,"African languages, n.i.e.","African languages, n.i.e.",,0,0,0
62,Nunavut,Detailed language spoken most often at home,Afrikaans,Afrikaans,,5,0,0
62,Nunavut,Detailed language spoken most often at home,Akan (Twi),Akan (Twi),,0,0,0
62,Nunavut,Detailed language spoken most often at home,Albanian,Albanian,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Amharic,Amharic,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Arabic,Arabic,,5,0,0
62,Nunavut,Detailed language spoken most often at home,Armenian,Armenian,,0,0,0
62,Nunavut,Detailed language spoken most often at home,"Bantu languages, n.i.e.","Bantu languages, n.i.e.",,0,0,0
62,Nunavut,Detailed language spoken most often at home,Bengali,Bengali,,0,5,5
62,Nunavut,Detailed language spoken most often at home,Berber languages (Kabyle),Berber languages (Kabyle),,0,0,0
62,Nunavut,Detailed language spoken most often at home,Bisayan languages,Bisayan languages,,5,0,0
62,Nunavut,Detailed language spoken most often at home,Bosnian,Bosnian,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Bulgarian,Bulgarian,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Burmese,Burmese,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Cantonese,Cantonese,,5,5,0
62,Nunavut,Detailed language spoken most often at home,"Chinese, n.o.s.","Chinese, n.o.s.",,10,10,0
62,Nunavut,Detailed language spoken most often at home,Creoles,Creoles,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Croatian,Croatian,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Czech,Czech,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Danish,Danish,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Dutch,Dutch,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Estonian,Estonian,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Finnish,Finnish,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Flemish,Flemish,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Fukien,Fukien,,0,0,0
62,Nunavut,Detailed language spoken most often at home,German,German,,5,5,5
62,Nunavut,Detailed language spoken most often at home,Greek,Greek,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Gujarati,Gujarati,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Hakka,Hakka,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Hebrew,Hebrew,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Hindi,Hindi,,5,5,0
62,Nunavut,Detailed language spoken most often at home,Hungarian,Hungarian,,0,5,0
62,Nunavut,Detailed language spoken most often at home,Ilocano,Ilocano,,0,0,0
62,Nunavut,Detailed language spoken most often at home,"Indo-Iranian languages, n.i.e.","Indo-Iranian languages, n.i.e.",,0,0,0
62,Nunavut,Detailed language spoken most often at home,Italian,Italian,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Japanese,Japanese,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Khmer (Cambodian),Khmer (Cambodian),,0,0,0
62,Nunavut,Detailed language spoken most often at home,Korean,Korean,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Kurdish,Kurdish,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Lao,Lao,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Latvian,Latvian,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Lingala,Lingala,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Lithuanian,Lithuanian,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Macedonian,Macedonian,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Malay,Malay,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Malayalam,Malayalam,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Maltese,Maltese,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Mandarin,Mandarin,,10,5,5
62,Nunavut,Detailed language spoken most often at home,Marathi,Marathi,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Nepali,Nepali,,0,0,0
62,Nunavut,Detailed language spoken most often at home,"Niger-Congo languages, n.i.e.","Niger-Congo languages, n.i.e.",,0,0,0
62,Nunavut,Detailed language spoken most often at home,Norwegian,Norwegian,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Oromo,Oromo,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Panjabi (Punjabi),Panjabi (Punjabi),,5,0,0
62,Nunavut,Detailed language spoken most often at home,Pashto,Pashto,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Persian (Farsi),Persian (Farsi),,0,0,0
62,Nunavut,Detailed language spoken most often at home,Polish,Polish,,10,5,5
62,Nunavut,Detailed language spoken most often at home,Portuguese,Portuguese,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Romanian,Romanian,,5,5,5
62,Nunavut,Detailed language spoken most often at home,Rundi (Kirundi),Rundi (Kirundi),,0,0,0
62,Nunavut,Detailed language spoken most often at home,Russian,Russian,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Rwanda (Kinyarwanda),Rwanda (Kinyarwanda),,0,0,0
62,Nunavut,Detailed language spoken most often at home,"Semitic languages, n.i.e.","Semitic languages, n.i.e.",,0,0,0
62,Nunavut,Detailed language spoken most often at home,Serbian,Serbian,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Serbo-Croatian,Serbo-Croatian,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Shanghainese,Shanghainese,,0,0,0
62,Nunavut,Detailed language spoken most often at home,"Sign languages, n.i.e.","Sign languages, n.i.e.",,10,5,10
62,Nunavut,Detailed language spoken most often at home,Sindhi,Sindhi,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Sinhala (Sinhalese),Sinhala (Sinhalese),,0,0,0
62,Nunavut,Detailed language spoken most often at home,"Sino-Tibetan languages, n.i.e.","Sino-Tibetan languages, n.i.e.",,0,0,0
62,Nunavut,Detailed language spoken most often at home,"Slavic languages, n.i.e.","Slavic languages, n.i.e.",,0,0,0
62,Nunavut,Detailed language spoken most often at home,Slovak,Slovak,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Slovenian,Slovenian,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Somali,Somali,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Spanish,Spanish,,20,10,10
62,Nunavut,Detailed language spoken most often at home,Swahili,Swahili,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Swedish,Swedish,,0,0,0
62,Nunavut,Detailed language spoken most often at home,"Tagalog (Pilipino, Filipino)","Tagalog (Pilipino, Filipino)",,60,30,35
62,Nunavut,Detailed language spoken most often at home,Taiwanese,Taiwanese,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Tamil,Tamil,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Telugu,Telugu,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Thai,Thai,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Tibetan languages,Tibetan languages,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Tigrigna,Tigrigna,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Turkish,Turkish,,0,5,0
62,Nunavut,Detailed language spoken most often at home,Ukrainian,Ukrainian,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Urdu,Urdu,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Vietnamese,Vietnamese,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Yiddish,Yiddish,,0,0,0
62,Nunavut,Detailed language spoken most often at home,Other languages,Other languages,22,130,65,70
62,Nunavut,Detailed language spoken most often at home,English and French,English and French,,5,0,0
62,Nunavut,Detailed language spoken most often at home,English and non-official language,English and non-official language,,250,140,115
62,Nunavut,Detailed language spoken most often at home,French and non-official language,French and non-official language,,5,0,0
62,Nunavut,Detailed language spoken most often at home,"English, French and non-official language","English, French and non-official language",,0,0,0
62,Nunavut,Detailed other language spoken regularly at home,None,None,,17065,8865,8200
